state,city,SUM of last_available_confirmed,SUM of new_confirmed_7day_rolling,SUM of last_available_deaths,SUM of new_deaths_7day_rolling,MIN of date,MIN of estimated_population_2019
BA,AbaÃ?ra,276,2,11,0,6/15/2021,8739
BA,AbarÃ©,919,5,11,0,6/15/2021,20086
BA,Acajutiba,500,1,16,0,6/15/2021,15159
BA,Adustina,869,7,20,0,6/15/2021,17040
BA,ÃÅgua Fria,168,2,10,0,6/15/2021,16970
BA,Aiquara,464,1,11,0,6/15/2021,4446
BA,Alagoinhas,12477,66,247,2,6/15/2021,151596
BA,AlcobaÃ§a,1432,4,28,0,6/15/2021,22470
BA,Almadina,600,0,9,0,6/15/2021,5464
BA,Amargosa,2572,12,49,0,6/15/2021,37241
BA,AmÃ©lia Rodrigues,2131,11,41,0,6/15/2021,25102
BA,AmÃ©rica Dourada,851,1,10,0,6/15/2021,16094
BA,AnagÃ©,852,1,19,0,6/15/2021,22005
BA,AndaraÃ?,791,4,8,0,6/15/2021,13143
BA,Andorinha,790,1,16,0,6/15/2021,14595
BA,Angical,602,4,14,0,6/15/2021,13977
BA,Anguera,418,2,1,0,6/15/2021,11221
BA,Antas,1224,7,10,0,6/15/2021,19291
BA,AntÃ´nio Cardoso,439,3,9,0,6/15/2021,11683
BA,AntÃ´nio GonÃ§alves,818,5,8,0,6/15/2021,11798
BA,AporÃ¡,491,1,18,0,6/15/2021,17731
BA,Apuarema,666,0,9,0,6/15/2021,7330
BA,AraÃ§Ã¡s,609,2,10,0,6/15/2021,12177
BA,Aracatu,796,1,14,0,6/15/2021,13135
BA,Araci,3397,7,47,0,6/15/2021,54379
BA,Aramari,572,1,12,0,6/15/2021,11397
BA,Arataca,715,10,15,0,6/15/2021,11019
BA,AratuÃ?pe,367,1,9,0,6/15/2021,8825
BA,Aurelino Leal,928,5,26,0,6/15/2021,11531
BA,BaianÃ?polis,798,4,11,0,6/15/2021,13877
BA,Baixa Grande,698,3,11,0,6/15/2021,20468
BA,BanzaÃª,1037,3,8,0,6/15/2021,13229
BA,Barra,2043,8,43,1,6/15/2021,53578
BA,Barra da Estiva,2172,14,21,0,6/15/2021,20598
BA,Barra do ChoÃ§a,1985,10,28,0,6/15/2021,31603
BA,Barra do Mendes,690,1,12,0,6/15/2021,13865
BA,Barra do Rocha,414,1,7,0,6/15/2021,5714
BA,Barreiras,17372,94,288,2,6/15/2021,155439
BA,Barro Alto,843,5,12,1,6/15/2021,14931
BA,Barro Preto,578,1,10,0,6/15/2021,5591
BA,Barrocas,734,2,23,0,6/15/2021,15978
BA,Belmonte,1024,4,22,0,6/15/2021,23328
BA,Belo Campo,796,2,14,0,6/15/2021,17211
BA,Biritinga,464,4,7,0,6/15/2021,15979
BA,Boa Nova,849,3,15,0,6/15/2021,12633
